1611943,https://www.pib.gov.in/PressReleasePage.aspx?PRID=1611943,22071,06 APR 2020 1:05PM by PIB Chennai,ta,கோவிட் 19  நோய்க்கு எதிரான போரில் இந்திய அறிவியல் மற்றும் தொழில்நுட்ப அமைப்புகளின் பங்கு
1611942,https://www.pib.gov.in/PressReleasePage.aspx?PRID=1611942,3494,07 APR 2020 12:04PM by PIB Chandigarh,pa,ਕੋਵਿਡ-19 ਖ਼ਿਲਾਫ਼ ਲੜਾਈ ਵਿੱਚ ਲੋਕਾਂ ਨੂੰ ਰਾਹਤ ਪ੍ਰਦਾਨ ਕਰਨ ਦੇ ਕਾਰਜ ਵਿੱਚ ਸਾਬਕਾ ਸੈਨਿਕ ਆਪਣੀ ਭੂਮਿਕਾ ਨਿਭਾ ਰਹੇ ਹਨ
1611941,https://www.pib.gov.in/PressReleasePage.aspx?PRID=1611941,3451,07 APR 2020 12:04PM by PIB Mumbai,mr,माजी सैन्यकर्मचाऱ्यांनी कोविड 2019 मुकाबला करण्यासाठी उचलली पावले
1611940,https://www.pib.gov.in/PressReleasePage.aspx?PRID=1611940,2494,07 APR 2020 12:45PM by PIB Hyderabad,te,"అంత‌ర్గ‌తంగా పీపీఈల త‌యారీ చేప‌ట్టిన‌ భార‌తీయ రైల్వే
- వైద్యులు, పారా మెడిక‌ల్ సిబ్బందికి మ‌రింత మేటి ర‌క్ష‌ణ చ‌ర్య‌లు- రోజుకు క‌నీసం 1000 వ‌ర‌కు పీపీఈల త‌యారీకి స‌న్నాహ‌క చ‌ర్య‌లు- దేశవ్యాప్తంగా దాదాపు 17 రైల్వే వర్క్‌షాప్‌ల‌లో ఉత్ప‌త్తి స‌న్నాహ‌కాలు- రానున్న రోజుల్లో ఇత‌ర వైద్య నిపుణులకూ స‌ర‌ఫ‌రా చేసే ఏర్పాట్లు.."
1611939,https://www.pib.gov.in/PressReleasePage.aspx?PRID=1611939,1883,07 APR 2020 12:04PM by PIB Kolkata,NA,লকডাউন পরবর্তী সময়ে সাধারণ মানুষের স্বাস্থ্যের বিষয়ে পরিকল্পনা গ্রহণের আহ্বান জানালেন উপ-রাষ্ট্রপতি
1611938,https://www.pib.gov.in/PressReleasePage.aspx?PRID=1611938,3942,07 APR 2020 12:04PM by PIB Hyderabad,te,"లాక్‌డౌన్ తదనంతరం ఆర్థిక వ్యవస్థతోపాటు ప్రజారోగ్యంపై దృష్టి పెట్టడమూ కీలకమేనన్నఉపరాష్ట్రపతి
- లాక్‌డౌన్ తొలగింపు నిర్ణయంలో  మూడోవారం అత్యంత కీలకం- స్వల్ప ఇబ్బందులున్నా.. సమస్య సమూల పరిష్కారానికి ప్రజలు సహకారాన్ని కొనసాగించాలి- యావత్ ప్రపంచ సంక్షేమం కోసం భారతీయుల ప్రతిస్పందన, ఈ మాతృభూమి ఆధ్యాత్మిక దృష్టిని తెలియజేస్తుంది- కరోనా నుంచి యావత్ ప్రపంచం గుణపాఠాలు నేర్చుకోవాలని సూచన"
1611937,https://www.pib.gov.in/PressReleasePage.aspx?PRID=1611937,2631,07 APR 2020 12:45PM by PIB Chandigarh,pa,"ਭਾਰਤੀ ਰੇਲਵੇ ਛੇਤੀ ਨਾਲ ਸੰਗਠਨ ਵਿੱਚ ਹੀ ਨਿਜੀ ਸੁਰੱਖਿਆ ਉਪਕਰਣ (ਪੀਪੀਈ) ਓਵਰਆਲ ਬਣਾਉਣ ਦੇ ਕਾਰਜ ਵਿੱਚ ਜੁਟਿਆ
ਰੇਲਵੇ ਆਪਣੇ ਡਾਕਟਰਾਂ ਅਤੇ ਪੈਰਾਮੈਡਿਕਸ ਲਈ ਰੋਜ਼ਾਨਾ 1000 ਸੁਰੱਖਿਆਤਮਕ ਓਵਰਆਲ ਬਣਾਉਣ ਦੇ ਯਤਨਾਂ ਵਿੱਚਰੇਲਵੇ ਦੁਆਰਾ ਸਮੇਂ ਦੀ ਲੋੜ ਅਨੁਸਾਰ ਫਰੰਟਲਾਈਨ 'ਤੇ ਕੰਮ ਕਰ ਰਹੇ ਦੂਜੇ ਮੈਡੀਕਲ ਪ੍ਰੋਫੈਸ਼ਨਲਾਂ ਨੂੰ 50% ਓਵਰਆਲ ਸਪਲਾਈ ਕਰਨ ਬਾਰੇ ਵਿਚਾਰਜਗਾਧਰੀ ਸਥਿਤ ਰੇਲਵੇ ਵਰਕਰਸ਼ਾਪ ਪਹਿਲੀ ਅਜਿਹੀ ਵਰਕਸ਼ਾਪ ਜੋ ਅਜਿਹੇ ਓਵਰਆਲ ਬਣਾ ਰਹੀ ਹੈ, ਹੁਣ 17 ਰੇਲਵੇ ਵਰਕਸ਼ਾਪਾਂ ਅਜਿਹਾ ਕਰਨ ਦੀ ਤਿਆਰੀ ਵਿੱਚ"
1611936,https://www.pib.gov.in/PressReleasePage.aspx?PRID=1611936,3949,07 APR 2020 12:45PM by PIB Hyderabad,te,"కోవిడ్‌-19.. జాతీయ దిగ్బంధం నేపథ్యంలో నౌకా రవాణా సజావుగా సాగేలా నౌకాయాన మంత్రిత్వశాఖ చురుకైన పాత్ర;
ప్రధాన రేవులలో నిరుడు ఏప్రిల్‌ నుంచి మార్చి 2020దాకాఓడల రాకపోకల నిర్వహణలో టన్నేజీపరంగా 0.82 శాతం వృద్ధి;రేవులన్నిటా 46వేల మంది ప్రయాణిక/సిబ్బందికి థర్మల్‌ స్కానింగ్‌;ప్రధాన రేవుల వినియోగదారులపై జరిమానా,ఆలస్యరుసుము, సుంకాలు, ఫీజులు, అద్దెల రద్దు;కోవిడ్‌-19 నేపథ్యంలో ప్రధాన రేవుల వెంబడి ఆస్పత్రుల సంసిద్ధతసిబ్బంది జీతాలు.. సీఎస్‌ఆర్‌ నిధుల నుంచి‘పీఎం కేర్స్‌’ నిధికి రూ.59 కోట్లకుపైగా విరాళం;సముద్ర యాత్రికులు, రవాణాదారులకు శానిటైజేషన్‌, భద్రత ధ్రువీకరణతదితరాలనుంచి ఉపశమనం కల్పించిన నౌకాయాన డైరెక్టర్‌ జనరల్‌"
1611935,https://www.pib.gov.in/PressReleasePage.aspx?PRID=1611935,1198,07 APR 2020 1:50PM by PIB Chandigarh,pa,ਵਿਸ਼ਵ ਸਿਹਤ ਦਿਵਸ ‘ਤੇ ਪ੍ਰਧਾਨ ਮੰਤਰੀ ਦਾ ਸੰਦੇਸ਼
1611934,https://www.pib.gov.in/PressReleasePage.aspx?PRID=1611934,3669,07 APR 2020 12:04PM by PIB Guwahati,NA,ক’ভিড-১৯ ৰ বিৰুদ্ধে চলি থকা যুঁজত জনসাধাৰণলৈ সহায়ৰ হাত অৱসৰপ্ৰাপ্ত কৰ্মচাৰীৰ
